Tiempo,Sensor_1, Sensor_2, Sensor_3, Sensor_4, Sensor_5
0.0000,70.6432,68.3470,72.3469,67.6751,73.1764
1.0000,73.2823,65.7819,65.4822,71.8548,66.9929
2.0000,64.1609,72.4888,70.1794,73.6414,72.7559
3.0000,67.6970,77.4425,66.8623,80.5608,64.5008
4.0000,68.6878,67.2676,72.6770,63.2135,70.4300
5.0000,63.9342,65.7662,2.7644,64.8869,59.9772
6.0000,63.4028,68.7683,68.9815,75.1892,67.5346
7.0000,74.6561,73.3151,59.7284,68.0510,72.3102
8.0000,70.0562,65.7290,70.6628,63.0937,68.3950
9.0000,66.7743,63.9934,77.9647,71.5777,76.1828
10.0000,74.0286,69.4007,75.0921,77.7662,66.8436
11.0000,71.1581,69.6735,62.0980,73.5395,58.3739
12.0000,65.0512,72.4265,69.6067,79.7869,63.8418
13.0000,76.6979,67.0225,66.5917,72.5227,75.2782
14.0000,71.4475,69.2517,64.8772,79.3226,69.4339
15.0000,77.3946,67.8262,63.8282,68.3009,71.8961
16.0000,75.6901,69.6033,71.4440,64.3011,74.7210
17.0000,66.5793,77.6758,67.8535,68.9444,59.3979
18.0000,63.5403,66.9676,70.2790,75.9512,66.7766
19.0000,69.6354,63.2632,68.1606,64.4190,66.4785
